participantID,A,rank_0_elab,rank_2_A_elab,rank_equaltxt_elab,rank_txt_elab,rank_0,rank_2_A,rank_equaltxt,rank_txt,rankElab_A,B,rank_1_elab,rank_2_B_elab,rank_3_elab,rank_1,rank_2_B,rank_3,rankElab_B,generatedChart,chartSemanticLevel,chartSemanticLevel_next,takeaway1,takeaway2,takeaway3,takeawayInfoReliance,attn_check,lit 1_1,lit 2_1,lit 3_1,lit 4_1,lit 5_1,lit 6_1,pref 1_1,pref 2_1,pref 3_1,pref 4_1,chartQuote,readingQuote,age,education,chartFreq,chartFreqValue,chartContext,chartContext_12_TEXT,readShortFreq,readShortFreqValue,readLongFreq,readLongFreqValue,readContext,readContext_12_TEXT,comments
11,6,still easy to take in but now some information is missing makign it harder to understand it,"it is simple, to the point, easy to take in the info","comes with even more information, which is always a good thing",have to spend a lot of time reading and comparing the information,4,2,1,3,most information in least amount of time,2,"there is an understanding of what the information is, but lacks information on actual cause",it is missing some information making it harder to understand,easy to get the information but not so easy to be accurate with it,3,2,1,more information is helpful,6,4,,national debt dropped in 1990-1992,government created restrictions on international borrowing,,3,2,5,5,5,4,5,5,6,6,6,6,6,4,45 - 54,High school graduate,Few times a week,6,"News media (e.g., television news),Government reports",,Every day,1,Once a year or less,7,"Social media,News (online or print),Government reports",,
12,3,I do not like that there is no title or other text information.,I do not like the lack of text and sidebar information.,"I like that this chart shows the steep decline, but I feel it could use some color either in the axis or the text.",I like that all of the information is presented in a clear way. I do not like the lack of visuals.,4,3,2,1,I ranked them in this way because I feel the more information the better.,5,I like that it shows the spike and then the decline.,I like that it visually explains the approval rating.,I like that the visuals explain everything. The text feels unnecessary here.,1,2,3,,6,3,,The national debt crisis was extremely high from 2000 to 2010,,,4,1,4,5,3,4,6,4,5,4,5,3,3,5,35 - 44,2 year degree,Few times a week,6,"News article (online),Infographics",,Every day,1,Once a week,3,"Social media,News (online or print),Books",,
13,4,"I do not like that it does not have very specific info, but I like that it is obvious of what it is showing",I like how it shows the roundabout years and it's quick to read the information. I would like it to show in terms of years and accuracy,I like everything about it. It is easy to make out the information and it has nice specifics spread throughout it,"I like that there is a lot of information. I do not like that it takes time to gather all the info, by having to go ahead and read it",3,2,1,4,,8,"I like that it is simple, but it could have some more text showing specifics over time",It has plenty of information and it very easy to read and understand the information,There is nothing to dislike. It has plenty of info and easy to read,3,2,1,,8,2,4,The issue the app had is what started the deep decline of the app,,,4,1,4,5,5,5,4,5,4,4,5,5,5,5,25 - 34,Some college,Once a week,5,"Job or career,Social media,News article (online),News media (e.g., television news),Health information,Infographics",,Few times a week,2,Few times a week,2,"Job or career,Social media,Books",,
14,6,The use of a single color doesn't make anything stand out and the trillion should be annotated somewhere in the chart,"Still the use of one color and no annotation for ""T"" being trillion. ",I do not like that there is a single use of color in the chart or that there is no annotation in the chart of T being trillion. ,"The use of ""T"" instead of ""trillion"" in text is unnecessary and at a minimum the first T should be spelled out.",4,2,1,3,"I don't care for text at all because of the lack of graphics. Of the graphic charts used, the ones with more text annotation have a higher rank. There still needs to be a notation somewhere that ""T"" is ""trillion"" for those that may not know and the chart needs to be in different colors to separate it better.",1,Top text is too large and bulky and the chart is monocolor. I do like that the information is more recent but it may not need to cover such a large time frame.,I like the addition of the text explaining the decrease but don't think the word uptick should be used since that denotes a rise.,I don't like the word uptick being used on a downward trend. ,3,2,1,The charts with more text to explain have the highest ranking.,7,2,3,Second peak of immigration happens about 10 years after the first,,,3,1,5,4,4,5,5,4,5,5,4,5,5,6,45 - 54,Professional degree,Every day,7,"Job or career,Social media,News article (online)",,Every day,1,Every day,1,"Job or career,Social media,News (online or print)",,
15,9,"Like that it makes it more clear to see the changes in attendance, although lacking arrows makes it less visually pleasing.","Helpful to show some explanation without being too busy, although more arrows for different flows would be better.","Like that it gives explanations for the changes in attendance, but also leads to it being kind of busy and cluttered.",Like that it is easier to understand the changes in attendence when written out rather than the busy graph.,4,3,2,1,Easiest to understand as text.,6,"Like the clear title, but dislike lack of arrows to make it visually better.",Like use of arrow and explanation. Dislike not more usage of arrows.,Like arrrows. Dislike and do not see point of minimum without maximum.,3,1,2,Most clear and logical presentation with some explanation and no random minimum dot.,3,3,4,National debt crisis caused steep drop,,,2,1,4,4,4,3,4,2,3,4,3,4,4,6,25 - 34,Professional degree,Few times a month,4,"Infographics,Government reports",,Every day,1,Every day,1,"Job or career,Social media,Books,Manuals or instructions",,
16,8,I like that it's simple and easy to understand. ,I like that it's simple and the numbers are displayed in an easy to understand way and you can quickly get and idea of the data.,I like that there's more details added for someone to understand why there might be an up or down spike.,"I like that you get all the information on the app did or did not do well in certain years, but it's a lot read and can't give you any at-a-glance information.",3,2,1,4,I like the charts better and I liked the ones that give more details.,7,I like that it's simple and you can get a quick at-a-glance view of the data.,I like that it's simple and gives you details as to why there was an increase spike. It would be more beneficial if there was more information on why there was also a decrease spike.,I like that it's simple and displays the data in an easy to understand way.,3,2,1,I like the added details in the first two charts.,1,2,4,Immigration levels started to dramatically increase around 2018.,,,3,1,6,5,6,5,6,4,5,6,6,6,6,6,35 - 44,High school graduate,A few times a year,2,News article (print),,Every day,1,Once a year or less,7,"Social media,News (online or print)",,
17,8,"I like this method, but would like a little more detail.",I like seeing the text marking the rapid increase.,I like the title and text which helps to clarify the chart.,I dislike this method. It is too wordy and is difficult to visualize without a chart.,3,2,1,4,,9,I dislike this method because of the lack of text.,"I think that this method is OK, but could use more text.",I like this method due to the added texts clarifying the chart.,3,2,1,I like the added details in the first two charts.,2,2,3,Household income spiked from 2008 to 2010,,,3,1,4,4,4,4,4,4,5,5,5,5,5,6,55 - 64,2 year degree,Few times a month,4,"News article (online),News media (e.g., television news),Health information,Government reports",,Every day,1,Few times a week,2,"Social media,News (online or print),Books,Magazines,Manuals or instructions",,
18,7,I like this much more. This is easy to understand and is laid out in a clean way.,This chart is simple and easy to comprehend. ,This chart has a lot of relevant information. The added text greatly enhances the chart.,It is crowded and confusing. It needs a chart of some kind.,3,2,1,4,I feel that the first chart is the best way to present this information.,3,At first glance I can quickly understand the information that is presented.,The added text gives context to the decline shown on the chart.,The bottom text box is redundant and not needed.,2,1,3,These are all good charts. It's just a matter of personal preference.,7,3,4,Changes in policy led to two different spikes in immigration.,,,3,1,6,6,6,6,6,5,5,6,6,6,6,6,45 - 54,Some college,Few times a week,6,"Job or career,Social media,News article (online),News article (print),Health information,Infographics,Government reports",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books,Manuals or instructions",,Thank you
19,6,"The chart is too basic. There is just one line, with no information to help the viewer.","I like that there is information around the grey arrows, to further help understand the information. However, I don't like that there is little information at the beginning of the chart, like marking the minimum spot.","I like the grey arrows shown next to text explaining why they are pointing in the direction they are.
There is nothing I dislike about the chart.","As I read this paragraph, I can't visualize the information. I would prefer it be presented in graph form.",3,2,1,4,,6,"This is a basic line chart, with no additional information. It is too plain. I'd like additional information included.","I like that the axis is clearly labeled and there is text around the grey arrows, giving further insight into the chart. However, I dislike that there is no extra information at the beginning of the line graph, like there is at the end.",This is one of my most preferred methods of displaying data. I like being able to see the minimum and I like that I can get a bit of information underneath the grey arrow.,3,2,1,Ranking 1 is due to it having the most information on the graph.,2,1,3,"Around 2005, incomes spiked extremely high.",,,5,1,4,4,5,4,5,4,6,5,5,5,5,5,35 - 44,4 year degree,A few times a year,2,News article (online),,Every day,1,Few times a month,4,Social media,,
20,7,It doesn't really provide a lot of information. It only has the most basic numbers.,It has a more precise measurements on the axis but the background lines are too light.,It's an easy to read chart with text explanations at the points of interest. This is definitely preferable because it is both concise yet thorough.,It summarizes the information nicely but has a lot of extraneous text making it take longer to read.,3,2,1,4,The amount of information presented and the efficiency with which it is laid out.,2,This only has the most basic information without any insight.,This is okay with the text added but the placement makes the chart seem visually bigger and that could be misleading.,It provides a little more information but the overlays are distracting and take up too much space and make it seems like the chart is bigger than it actually is.,3,2,1,More information is better especially since the chart is misaligned making it seem like there should be more.,2,3,,Median wages increased sharply in the latter years.,There was steady growth before the spike.,,3,2,5,4,4,4,5,5,6,6,5,6,6,6,35 - 44,4 year degree,Few times a month,4,"News article (online),Other (enter below)",Stock tickers,Every day,1,Few times a month,4,"News (online or print),Books",,
21,3,"There isn't any context, I think this is bad but I'm not really sure","I like that it gives me some context, but I would prefer more.  This seems like a complex issue","I like the additional information but the subtitle of ""less than 1970"" didn't add anything other than confusion","I like the amount of information that is presented and I think I can figure out what I need to now that I have this info, but it isn't perfect yet",4,3,1,2,I really appreciate the additional information and context.  ,9,I want to know what caused the deep dips ,What about the deep dips?  I appreciate the information about 2010 but I want to know more,I can see that it plummets!  I want to know why,2,1,3,"The chart that tells me attendance plummets over the span of a year really bugs me.  I can clearly see that it plummets, not a helpful annotation. ",4,3,4,Technological Boom started around 1982,Incomes reached an 80k peak around 1985,Rebound from 30k to 75k from 1989 to 2010,3,3,3,4,5,3,4,2,3,5,5,5,5,6,45 - 54,4 year degree,Few times a week,6,"Job or career,Social media,News article (online),Infographics",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books,Magazines,Short stories",,
22,9,"I like that it is clean and uncluttered, however I wish there were more information to help me explain what it is that I am looking at and supposed to be taking from this chart.","I wish that there were a little more information, but I do like that it is clean and uncluttered.","I like the amount of information and that everything is clearly labeled, but it does seem a bit cluttered at first glance. It would be nice if there were more color maybe?","I like the amount of information, however it would be nice to have a visual representation of the information and not just a wall of text.",4,3,1,2,,4,"I really like how clean and uncluttered this chart is. It would be nice to have a little more information to explain the fall and rise, however.","I like that this is pretty clean and uncluttered, but I really feel like the ""maximum"" label is unnecessary. ","I like that this chart labels the beginning of the first rise. However, the maximum label is very unneeded and I would like a label for the fall and subsequent second rise.",2,3,1,,4,2,3,median household income remained more or less stagnant from 1960-1980,there was a sharp increase in income between 1980 and 1985,median income peaked in the mid-80s,4,3,5,5,5,5,5,4,4,6,4,4,4,6,35 - 44,Some college,Few times a week,6,"Social media,News article (online),Infographics",,Every day,1,Every day,1,"Social media,News (online or print),Books,Short stories",,
23,9,I feel that it is too plain and you barely can tell much about it. ,I dislike how the visual does not look real. It looks like a kid did it. ,I like the breakdown of the visual with the words in order to help see the effects. ,I like that it is easy to read and comprehend the information since it is very simple. ,4,3,1,2,I like the breakdown in the first one as it is easy to read and understand. The second one is very informative. ,3,I feel like it looks very plain and not something that catches your eyes. ,I dont like that there is not a lot of information to help you understand the graph.,I like it being very informative and is helpful in learning what it is about. ,3,2,1,I feel that it is very informative and you get to learn a lot of information.,4,1,4,It starts out high and then takes a dive ,In the middle there is a flat line at the top.,I takes  two total dives. ,3,3,6,6,6,5,6,6,3,6,6,6,6,6,25 - 34,4 year degree,Few times a month,4,"Social media,News article (online),News article (print),News media (e.g., television news),Infographics",,Every day,1,Few times a month,4,"Social media,News (online or print),Scientific publications",,
24,4,the visual doesn't look right ,it is easy to read the chart shows the rapid rise in income followed by a decline then a steady rise,I like that the text explains how the household income increases after falling ,I like that it explains how median household income changed. easy to understand ,4,3,1,2,the first one has the technology boom labeled  to show why the quick rise,1,it doesnt have enough info about why the sudden increase ,need info about what policy encouraged immigration,"I don't like the text ""years span 1960 to 2020 shown in decades"" dont think its necessary ",1,2,3,,1,3,4,government policy and jobs encouraged immigration,1960 -2020  ,500k to 2.5 million,3,3,3,3,2,3,4,3,3,3,5,3,3,5,35 - 44,High school graduate,Once a month,3,"News article (online),News media (e.g., television news),Health information",,Every day,1,Few times a week,2,"News (online or print),Books",,
25,2,I like that the method is almost as simple as it can be. I would like to have the option for more detailed information however.,I like that it's relatively simple and there is information off to the right to describe the situation. I would like to have more detailed specific information about the line as it's a rather tight line.,I like that there are multiple additional sources of information off to the right of the line. I would like the ability to hover upon the line for the most accurate information.,I like that the information is presented in a way that anyone could understand. I would like to have a graph for visual representation for those who feel they gain more insight through graphs.,3,1,2,4,I feel the visual representation is the best for me when viewing this type of information. I feel like the graphs I ranked near the top have additional information and provide the most robust visual representation of the data. I ranked them based upon how much information I could gather and how quickly.,8,I like that the graph is super simple and easy to understand. I feel like the title at the top of the graph is not needed as the data shown within the graph obviously shows this.,I like that the graph is simple and easy to understand. I dislike the lack of information on the right side of the spike when compared to the left side of the spike.,I like the additional information provided within the simple graph. I would like to have the ability to look at each point on the graph with more detailed specific information.,2,3,1,"I chose the graphs based upon how easy they were for me to process the information provided. I feel like choice 1 provided the most information and choice two was the simplest version. Chart 3 felt a bit misleading to me as there was no information provided on the right side of the spike, only the left.",6,1,4,When governments put in new restrictions the graph appear to stay relatively stable.,Around the 1990's the graph took a major dip before bouncing back up to it's previous level.,The government's new restrictions appear to have fixed a problem that occurred previously.,4,3,5,5,6,5,5,5,4,6,6,6,6,6,35 - 44,4 year degree,Every day,7,"Job or career,Social media,News article (online),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports,Other (enter below)",stocks and crypto markets,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Scientific publications,Short stories,Manuals or instructions,Brochures,Government reports",,Everything was easy to understand and complete.
26,7,It is clear. Easy to read.,I dislike how obvious the information in the chart is explaining the info from 1980 and 1982. ,It gives a bit of detail to the chart explaining the line.,I like the level of information explaining events that caused immigration fluctuations.,4,3,2,1,,7,Easy to read quickly.,It has a bit more info than a plain line chart.,I like the extra text showing info.,3,2,1,,6,1,3,30t in debt from 93 to 2010.,The rapid spike over 17 years,The relatively low debt from 92-95,4,3,5,4,5,4,5,3,3,5,4,5,5,5,35 - 44,Some college,Few times a week,6,"Job or career,News media (e.g., television news)",,Every day,1,A few times a year,6,"Social media,News (online or print)",,
27,3,"I like the visual. I wish I had a little more detail, though. I mean, I can understand what I'm looking at without the text, such as the title and the annotation, so it's not that big of a deal.","The visual is easy on the yes. The title is a little long, but I can deal. The annotation is straight forward. ","I like the visual. There's too much text, though. It's hard too focus because of the text, takes a couple of times of rereading to get it all down because the other text surrounding is distracting. ","Straightforward. Just the text to focus on, and the text is organized in a way that is not distracting.",2,1,4,3,"Top one gives me the title, and text describing what I am looking at. Second one is very simply, easy on the eyes, but some more details would be nice. Third one is straightforward. Fourth option is way too much information, cluttered and distracting.",6,Straightforward. Simple to understand. ,"It's okay. I could do without the annotated text, but I can deal.","The ""Minimum"" and other annotated text makes it feel cluttered and overwhelms me",1,2,3,"I ranked from least overwhelming, least cluttered to most",6,2,4,The minimum was somewhere between 1990 and 1995.,The national debt has remained stagnant from 2000 to 2010.,The debt reached 30T in 2000,3,3,4,4,4,4,4,3,4,5,6,5,5,6,25 - 34,Some college,Few times a month,4,"Social media,News article (online),News media (e.g., television news),Infographics",,Few times a week,2,Few times a week,2,"Job or career,Social media,News (online or print)",,
28,6,It doesn't tell me why things changed over time.,Missing key information about why things changed over time.,I like it well enough. Might make the visual more interesting (think Edward Tufte).,"All text, no imagery. I want to visualize the data.",3,2,1,4,(see previous comments),2,No reasoning is offered for the changes.,It only tells me about changes from 2008-2010.,I don't like the placement of the axis descriptor.,3,2,1,,6,2,3,1990-92 significant drop in national debt,1993-2000 significant increase in national debt,2000-2020 national debt stayed relatively stable,3,3,4,4,5,4,4,4,6,6,5,6,6,3,45 - 54,Professional degree,Few times a week,6,"Job or career,Social media,News article (online),News article (print),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports",,Every day,1,Few times a week,2,"News (online or print),Scientific publications,Books,Manuals or instructions,Government reports",,
29,8,not enough explanations on why the spike happened,easy to understand the topic and the chart is easy to read,details given on each important point on the chart,a lot of details but it is too wordy to be able to digest immediately.,3,2,1,4,,3,very blank of the chart,decent explanation on the chart,great concise description on the decrease,3,2,1,,3,1,,negative correlation,sharp decreases,continually decreasing,4,3,5,5,5,5,5,5,4,5,5,4,4,4,25 - 34,4 year degree,Few times a week,6,"Job or career,Social media,News article (online),News article (print),News media (e.g., television news),Infographics",,Every day,1,Few times a week,2,"Job or career,Social media,Books,Magazines",,
30,8,The visual makes it easy to see high and low spikes.,The added text helps me to understand the visual.,I like that it gives a possible explanation for the large spike.,It only tells me about the significant changes and leaves out large time frames.,4,2,1,3,,5,It is very easy to read and understand.,It is simple and easy to understand.,The added text isn't very helpful and makes it look cluttered.,1,3,2,,5,1,2,There was a steep increase in approval in 2017.,Approval was lowest in 2020.,,5,3,5,4,3,5,5,2,6,6,3,4,4,3,35 - 44,Some college,Once a month,3,"News article (online),News media (e.g., television news),Health information,Infographics",,Every day,1,A few times a year,6,"Social media,News (online or print),Books",,
