participantID,generatedChart,takeawayInfoReliance,takeawayRank,chartSemanticLevel,chartSemanticLevel_next,chartAnnotation,chartAnnotation_next,takeawayText,takeawayLevel,isTakeawayMatch,takeawayMatchLevel,isTakeawayExt,isTakeawayL1,isTakeawayL2,isTakeawayL3,isTakeawayL4
12,6,4,1,3,NA,National debt climbs to previous high,NA,The national debt crisis was extremely high from 2000 to 2010,3,1,3,0,0,0,1,0
13,8,4,1,2,4,Number of app users in 2020 less than in 2015,Update to the app introduced large issues for users,The issue the app had is what started the deep decline of the app,4,1,4,0,0,0,0,1
14,7,3,1,2,3,Immigration in 1982 higher than 1980,Second peak occurs about 10 years after the first,Second peak of immigration happens about 10 years after the first,3,1,3,0,0,0,1,0
15,3,2,1,3,4,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",National debt crisis caused steep decrease from 1960-62.,National debt crisis caused steep drop,4,1,4,0,0,0,0,1
16,1,3,1,2,4,Number of immigrants in 2012 is greater than in 2011,More job opportunities and government policy encouraged immigration,Immigration levels started to dramatically increase around 2018.,3,0,0,0,0,0,1,0
17,2,3,1,2,3,Income in 2010 greater than 2008,"After steadily increasing, median household income spiked suddenly in 2008.",Household income spiked from 2008 to 2010,3,1,2,0,0,0,1,0
18,7,3,1,3,4,Second peak occurs about 10 years after the first,Changes in administrative policy caused spikes in immigration,Changes in policy led to two different spikes in immigration.,4,1,4,0,0,0,0,1
19,2,5,1,1,3,"Years span 1960 to 2010, shown in decades","After steadily increasing, median household income spiked suddenly in 2008.","Around 2005, incomes spiked extremely high.",3,0,0,0,0,0,1,0
20,2,3,1,3,NA,"After steadily increasing, median household income spiked suddenly in 2008.",NA,Median wages increased sharply in the latter years.,3,1,3,0,0,0,1,0
20,2,3,2,3,NA,"After steadily increasing, median household income spiked suddenly in 2008.",NA,There was steady growth before the spike.,3,1,3,0,0,0,1,0
21,4,3,1,3,4,"After falling, household income increases.",Technological boom,Technological Boom started around 1982,4,1,4,0,0,0,0,1
21,4,3,2,3,4,"After falling, household income increases.",Technological boom,Incomes reached an 80k peak around 1985,2,0,0,0,0,1,0,0
21,4,3,3,3,4,"After falling, household income increases.",Technological boom,Rebound from 30k to 75k from 1989 to 2010,3,0,0,0,0,0,1,0
22,4,4,1,2,3,Maximum,"After falling, household income increases.",median household income remained more or less stagnant from 1960-1980,3,0,0,0,0,0,1,0
22,4,4,2,2,3,Maximum,"After falling, household income increases.",there was a sharp increase in income between 1980 and 1985,3,0,0,0,0,0,1,0
22,4,4,3,2,3,Maximum,"After falling, household income increases.",median income peaked in the mid-80s,3,1,2,0,0,0,1,0
23,4,3,1,1,4,Line depicts the change in median household income every 10 years from 1960-2010,Technological boom,It starts out high and then takes a dive,3,0,0,0,0,0,1,0
23,4,3,2,1,4,Line depicts the change in median household income every 10 years from 1960-2010,Technological boom,In the middle there is a flat line at the top.,0,0,0,0,0,0,0,0
23,4,3,3,1,4,Line depicts the change in median household income every 10 years from 1960-2010,Technological boom,I takes two total dives.,0,0,0,0,0,0,0,0
24,1,3,1,3,4,Slight uptick in the overall decreasing trend,More job opportunities and government policy encouraged immigration,government policy and jobs encouraged immigration,4,1,4,0,0,0,0,1
24,1,3,2,3,4,Slight uptick in the overall decreasing trend,More job opportunities and government policy encouraged immigration,1960 -2020,1,0,0,0,1,0,0,0
24,1,3,3,3,4,Slight uptick in the overall decreasing trend,More job opportunities and government policy encouraged immigration,500k to 2.5 million,1,0,0,0,1,0,0,0
25,6,4,1,1,4,National debt over 20 years,Government instituted restrictions on international borrowing,When governments put in new restrictions the graph appear to stay relatively stable.,4,1,4,0,0,0,0,1
25,6,4,2,1,4,National debt over 20 years,Government instituted restrictions on international borrowing,Around the 1990's the graph took a major dip before bouncing back up to it's previous level.,3,0,0,0,0,0,1,0
25,6,4,3,1,4,National debt over 20 years,Government instituted restrictions on international borrowing,The government's new restrictions appear to have fixed a problem that occurred previously.,4,1,4,0,0,0,0,1
26,6,4,1,1,3,National debt over 20 years,National debt climbs to previous high,30t in debt from 93 to 2010.,2,0,0,0,0,1,0,0
26,6,4,2,1,3,National debt over 20 years,National debt climbs to previous high,The rapid spike over 17 years,3,0,0,0,0,0,1,0
26,6,4,3,1,3,National debt over 20 years,National debt climbs to previous high,The relatively low debt from 92-95,3,0,0,0,0,0,1,0
27,6,3,1,2,4,Minimum,Government instituted restrictions on international borrowing,The minimum was somewhere between 1990 and 1995.,2,1,2,0,0,1,0,0
27,6,3,2,2,4,Minimum,Government instituted restrictions on international borrowing,The national debt has remained stagnant from 2000 to 2010.,3,0,0,0,0,0,1,0
27,6,3,3,2,4,Minimum,Government instituted restrictions on international borrowing,The debt reached 30T in 2000,2,0,0,0,0,1,0,0
28,6,3,1,2,3,Minimum,National debt climbs to previous high,1990-92 significant drop in national debt,3,0,0,0,0,0,1,0
28,6,3,2,2,3,Minimum,National debt climbs to previous high,1993-2000 significant increase in national debt,3,0,0,0,0,0,1,0
28,6,3,3,2,3,Minimum,National debt climbs to previous high,2000-2020 national debt stayed relatively stable,3,0,0,0,0,0,1,0
29,3,4,1,1,NA,Line depicts stock index over a series of 5 decades,NA,negative correlation,2,0,0,0,0,1,0,0
29,3,4,2,1,NA,Line depicts stock index over a series of 5 decades,NA,sharp decreases,3,0,0,0,0,0,1,0
29,3,4,3,1,NA,Line depicts stock index over a series of 5 decades,NA,continually decreasing,3,0,0,0,0,0,1,0
30,5,5,1,1,2,President approval rating over 5 years (2015-2020),Maximum,There was a steep increase in approval in 2017.,3,0,0,0,0,0,1,0
30,5,5,2,1,2,President approval rating over 5 years (2015-2020),Maximum,Approval was lowest in 2020.,2,0,0,0,0,1,0,0
31,9,4,1,1,3,Sports game attendance (in thousands) over 20 years,Attendance plummets over the span of a year.,the chart clearly shows that sports attendance reached it's peak at the beginning of the 20 year span and at the end of the span.,3,0,0,0,0,0,1,0
31,9,4,2,1,3,Sports game attendance (in thousands) over 20 years,Attendance plummets over the span of a year.,sports attendance plummeted to it's low almost exactly in the middle of the 20 year span.,3,1,3,0,0,0,1,0
31,9,4,3,1,3,Sports game attendance (in thousands) over 20 years,Attendance plummets over the span of a year.,sports attendance stayed within a clearly defined range over the course of 2 decades; never going above the peak and never going under the bottom.,3,0,0,0,0,0,1,0
32,5,4,1,1,NA,President approval rating over 5 years (2015-2020),NA,the ratings started off steady at the beginning,3,0,0,0,0,0,1,0
32,5,4,2,1,NA,President approval rating over 5 years (2015-2020),NA,i jumps around 2017 really fast,3,0,0,0,0,0,1,0
32,5,4,3,1,NA,President approval rating over 5 years (2015-2020),NA,"it then declines just as fast, even below the original steady rating.",3,0,0,0,0,0,1,0
33,3,3,1,1,4,Line depicts stock index over a series of 5 decades,National debt crisis caused steep decrease from 1960-62.,"From 1965 to 2010, the Stock Index fell consistently and regularly from 3,000 to a very low point in the hundreds.",3,0,0,0,0,0,1,0
33,3,3,2,1,4,Line depicts stock index over a series of 5 decades,National debt crisis caused steep decrease from 1960-62.,"A national debt crisis caused a massive drop of about 1,000 from 1960 to 1965, but the worst fall came in a steady decline from 1965 to 2010.",4,1,4,0,0,0,0,1
34,3,2,1,2,4,"Stock index at 5 in 2010, less than in 1970",National debt crisis caused steep decrease from 1960-62.,debt crisis caused steep lose from 1960-1962,4,1,4,0,0,0,0,1
34,3,2,2,2,4,"Stock index at 5 in 2010, less than in 1970",National debt crisis caused steep decrease from 1960-62.,stocks declined overall,3,0,0,0,0,0,1,0
35,1,5,1,2,3,Number of immigrants in 2012 is greater than in 2011,Slight uptick in the overall decreasing trend,The number of immigrants increased significantly in the last couple years.,3,0,0,0,0,0,1,0
35,1,5,2,2,3,Number of immigrants in 2012 is greater than in 2011,Slight uptick in the overall decreasing trend,There was a long period of stagnancy.,3,0,0,0,0,0,1,0
36,3,3,1,3,4,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",National debt crisis caused steep decrease from 1960-62.,"From 1960 to 2010, there was a decrease in the stock index.",3,0,0,0,0,0,1,0
36,3,3,2,3,4,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",National debt crisis caused steep decrease from 1960-62.,"After 1965, the decline became steep.",3,0,0,0,0,0,1,0
37,1,4,1,1,4,"Years span 1960-2020, shown in decades",More job opportunities and government policy encouraged immigration,The number of immigrants rose sharply around the year 2018.,3,0,0,0,0,0,1,0
37,1,4,2,1,4,"Years span 1960-2020, shown in decades",More job opportunities and government policy encouraged immigration,The number of immigrants was somewhat stagnant from 1960 until the spike in 2018.,3,0,0,0,0,0,1,0
38,2,2,1,2,4,Income in 2010 greater than 2008,Steady increase from 1960-2008 was caused by an increase in base wages.,median income increased over time and is on an upward trajectory.,3,1,3,0,0,0,1,0
38,2,2,2,2,4,Income in 2010 greater than 2008,Steady increase from 1960-2008 was caused by an increase in base wages.,Income in 2010 is higher than in 2008,2,1,2,0,0,1,0,0
38,2,2,3,2,4,Income in 2010 greater than 2008,Steady increase from 1960-2008 was caused by an increase in base wages.,The time span of the graph is from 1960 to 2010,1,0,0,0,1,0,0,0
39,6,3,1,4,NA,Government instituted restrictions on international borrowing,NA,the government instituted borrowing restrictions in 2000,4,1,4,0,0,0,0,1
39,6,3,2,4,NA,Government instituted restrictions on international borrowing,NA,the debt leveled out after 2000,3,0,0,0,0,0,1,0
39,6,3,3,4,NA,Government instituted restrictions on international borrowing,NA,the debt began to decrease in 1990,3,0,0,0,0,0,1,0
40,1,3,1,4,NA,More job opportunities and government policy encouraged immigration,NA,The number of immigrants rose dramatically after 2010.,3,0,0,0,0,0,1,0
40,1,3,2,4,NA,More job opportunities and government policy encouraged immigration,NA,The number of immigrants has been fairly stable between 1960 and 2010.,3,0,0,0,0,0,1,0
40,1,3,3,4,NA,More job opportunities and government policy encouraged immigration,NA,There's currently around two million immigrants.,2,0,0,0,0,1,0,0
41,2,4,1,3,4,"After steadily increasing, median household income spiked suddenly in 2008.",Steady increase from 1960-2008 was caused by an increase in base wages.,income spiked in 2008,3,1,3,0,0,0,1,0
41,2,4,2,3,4,"After steadily increasing, median household income spiked suddenly in 2008.",Steady increase from 1960-2008 was caused by an increase in base wages.,there was a steady increase in income and then a spike around 2008,3,1,3,0,0,0,1,0
42,1,2,1,2,NA,Number of immigrants in 2012 is greater than in 2011,NA,There were more immigrants in 2012 than 2011.,2,1,2,0,0,1,0,0
42,1,2,2,2,NA,Number of immigrants in 2012 is greater than in 2011,NA,Immigration was steady for decades until the late 2010s.,3,0,0,0,0,0,1,0
43,5,4,1,3,NA,Steep fall slows to a steady decrease,NA,Between 2017 and 2018 there was a sharp rise then sudden fall in presidential approval rating.,3,0,0,0,0,0,1,0
43,5,4,2,3,NA,Steep fall slows to a steady decrease,NA,Between 2015 and 2017 the presidential approval rating remained stagnant.,3,0,0,0,0,0,1,0
43,5,4,3,3,NA,Steep fall slows to a steady decrease,NA,Between 2018 and 2020 there was a steady decline in presidential approval rating.,3,1,3,0,0,0,1,0
44,4,4,1,1,3,Line depicts the change in median household income every 10 years from 1960-2010,"After falling, household income increases.",The median household income rose from 20k to 80k in the early 80's,3,0,0,0,0,0,1,0
44,4,4,2,1,3,Line depicts the change in median household income every 10 years from 1960-2010,"After falling, household income increases.",In mid 80's it plummets from 80k to 30k,3,0,0,0,0,0,1,0
44,4,4,3,1,3,Line depicts the change in median household income every 10 years from 1960-2010,"After falling, household income increases.",it slowly climbs back up to 80k from 1990 to 2010,3,0,0,0,0,0,1,0
45,8,3,1,1,4,Number of app users ranged from 0 to 500K,Update to the app introduced large issues for users,The chart shows the number of app users from 2010 to 2020,1,0,0,0,1,0,0,0
45,8,3,2,1,4,Number of app users ranged from 0 to 500K,Update to the app introduced large issues for users,There's a sharp rise of users in 2012,3,0,0,0,0,0,1,0
45,8,3,3,1,4,Number of app users ranged from 0 to 500K,Update to the app introduced large issues for users,Right after 2012 there is a sharp decline in app users due to issues with the app from an upate.,4,1,4,0,0,0,0,1
46,8,5,1,1,NA,Number of app users ranged from 0 to 500K,NA,The number of app users spiked between 2012 and 2014,3,0,0,0,0,0,1,0
46,8,5,2,1,NA,Number of app users ranged from 0 to 500K,NA,"Other than the spike, the number of app users has been in decline since 2010",3,0,0,0,0,0,1,0
46,8,5,3,1,NA,Number of app users ranged from 0 to 500K,NA,App use was higher in 2010 than in 2020,2,0,0,0,0,1,0,0
47,1,5,1,2,4,Number of immigrants in 2012 is greater than in 2011,More job opportunities and government policy encouraged immigration,Immigration suddenly spiked sharply upward around 2018,3,0,0,0,0,0,1,0
47,1,5,2,2,4,Number of immigrants in 2012 is greater than in 2011,More job opportunities and government policy encouraged immigration,Immigration was relatively stable across the years prior to that,3,0,0,0,0,0,1,0
48,7,4,1,4,NA,Changes in administrative policy caused spikes in immigration,NA,It did not seem to flow like a line. The numbers took spikes either upwards or downwards often.,3,0,0,0,0,0,1,0
48,7,4,2,4,NA,Changes in administrative policy caused spikes in immigration,NA,The chart was easy to read.,0,0,0,0,0,0,0,0
49,2,5,1,2,NA,Income in 2010 greater than 2008,NA,Household income increased steadily and at about the same rate from 1960-2008,3,0,0,0,0,0,1,0
49,2,5,2,2,NA,Income in 2010 greater than 2008,NA,From 2008-2010 there was a spike in household income,3,1,2,0,0,0,1,0
49,2,5,3,2,NA,Income in 2010 greater than 2008,NA,"Overall, household incomes have increased from 1960-2010",3,0,0,0,0,0,1,0
50,2,4,1,1,4,"Years span 1960 to 2010, shown in decades",Steady increase from 1960-2008 was caused by an increase in base wages.,base wage jumped from 60k to 80k in 2010,2,0,0,0,0,1,0,0
50,2,4,2,1,4,"Years span 1960 to 2010, shown in decades",Steady increase from 1960-2008 was caused by an increase in base wages.,showed years spanning from 1960 to 2010,1,1,1,0,1,0,0,0
51,5,2,1,3,4,Steep fall slows to a steady decrease,President starts popular initiatives against child hunger,BIG INCREASE IN PRESIDENTAL APPROVAL RATING WHEN INITITATIVE FOR CHILD HUNGER WERE IMPLEMENTED,4,1,4,0,0,0,0,1
51,5,2,2,3,4,Steep fall slows to a steady decrease,President starts popular initiatives against child hunger,PRESIDENTAL APPROVAL RATING DROPPED SLOWLY AFTER THE INTITAL INCREASE FROM HILD HUNGER INITIATVIE WERE IMPLEMENTED,4,0,0,0,0,0,0,1
52,5,4,1,1,4,President approval rating over 5 years (2015-2020),President starts popular initiatives against child hunger,The approval rating went up after the president made changes to lower child hunger.,4,1,4,0,0,0,0,1
52,5,4,2,1,4,President approval rating over 5 years (2015-2020),President starts popular initiatives against child hunger,"There was a sharp spike in approval rating, then it went back down to what it was before.",3,0,0,0,0,0,1,0
53,6,3,1,3,NA,National debt climbs to previous high,NA,The national debt was at its lowest point in the early 90s.,2,0,0,0,0,1,0,0
53,6,3,2,3,NA,National debt climbs to previous high,NA,The national debt climbed to its highest points starting in the 2000s.,3,1,3,0,0,0,1,0
54,3,3,1,1,3,Line depicts stock index over a series of 5 decades,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",Some stock index(what stock index??) declined dramatically,3,1,3,0,0,0,1,0
54,3,3,2,1,3,Line depicts stock index over a series of 5 decades,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically","Something happened to some stock index in 1962 to make to decline to nothing, when the stock market has increased over the same period.",4,0,0,1,0,0,0,1
54,3,3,3,1,3,Line depicts stock index over a series of 5 decades,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",This is incomplete information/a lot is missing.,0,0,0,0,0,0,0,0
55,8,3,1,4,NA,Update to the app introduced large issues for users,NA,A new updated increased user count,4,0,0,0,0,0,0,1
55,8,3,2,4,NA,Update to the app introduced large issues for users,NA,"This update was broken, and users started leaving.",4,1,4,0,0,0,0,1
55,8,3,3,4,NA,Update to the app introduced large issues for users,NA,The user count never recovered after the broken update.,4,1,4,1,0,0,0,1
56,7,4,1,1,NA,Line depicts number of immigrants over time,NA,Immigration has not been consistent over time.,3,0,0,0,0,0,1,0
56,7,4,2,1,NA,Line depicts number of immigrants over time,NA,Immigration peaked at 2m,2,0,0,0,0,1,0,0
56,7,4,3,1,NA,Line depicts number of immigrants over time,NA,1970 and 2010 numbers were close.,2,0,0,0,0,1,0,0
57,5,3,1,4,NA,President starts popular initiatives against child hunger,NA,The people liked that the president had a hunger program,4,1,4,0,0,0,0,1
57,5,3,2,4,NA,President starts popular initiatives against child hunger,NA,The president peaked at 80% approval rating,2,0,0,0,0,1,0,0
57,5,3,3,4,NA,President starts popular initiatives against child hunger,NA,The president declined in popularity a year/two years after the hunger program,4,0,0,0,0,0,0,1
58,8,4,1,3,4,Rapid increase in users from 2012 to 2013,Update to the app introduced large issues for users,In 2013 it peaked for large issues for users,2,0,0,0,0,1,0,0
58,8,4,2,3,4,Rapid increase in users from 2012 to 2013,Update to the app introduced large issues for users,In 2012 there was a rapid increase,3,1,2,0,0,0,1,0
58,8,4,3,3,4,Rapid increase in users from 2012 to 2013,Update to the app introduced large issues for users,The app users tanked in 2014,3,0,0,0,0,0,1,0
59,6,3,1,2,NA,Minimum,NA,The debt in 1960 was 30T,2,0,0,0,0,1,0,0
59,6,3,2,2,NA,Minimum,NA,It was it's lowest after 1990 and before 2000,2,1,2,0,0,1,0,0
59,6,3,3,2,NA,Minimum,NA,The debt steadily rose until it reached 30T in 2000,3,0,0,0,0,0,1,0
60,9,5,1,2,3,Attendance in 2010 greater than 2009,Attendance plummets over the span of a year.,Sports game attendance was higher in 2020 than 2000,2,0,0,0,0,1,0,0
60,9,5,2,2,3,Attendance in 2010 greater than 2009,Attendance plummets over the span of a year.,Sports game attendance was lower than 5000 around 2009.,2,0,0,0,0,1,0,0
60,9,5,3,2,3,Attendance in 2010 greater than 2009,Attendance plummets over the span of a year.,Sports game attendance was around 5000 around 2011-2,2,0,0,0,0,1,0,0
61,4,4,1,4,NA,Technological boom,NA,the technology boom caused a spike in household income in the mid 1980,4,1,4,0,0,0,0,1
61,4,4,2,4,NA,Technological boom,NA,the median household income was stagnate until the early 1980,3,0,0,0,0,0,1,0
61,4,4,3,4,NA,Technological boom,NA,around 1990 the median household income crashed almost back down to where it started and slowly raised after.,3,0,0,0,0,0,1,0
62,4,4,1,1,NA,Line depicts the change in median household income every 10 years from 1960-2010,NA,Income spiked around the 60s,3,0,0,0,0,0,1,0
62,4,4,2,1,NA,Line depicts the change in median household income every 10 years from 1960-2010,NA,income is going down now,3,0,0,0,0,0,1,0
62,4,4,3,1,NA,Line depicts the change in median household income every 10 years from 1960-2010,NA,Income was higher decades ago comparatively to now.,3,0,0,0,0,0,1,0
63,4,3,1,2,4,Maximum,Technological boom,80k was standard income in the 1990s,2,0,0,0,0,1,0,0
63,4,3,2,2,4,Maximum,Technological boom,It fell shortly after the 90s,3,0,0,0,0,0,1,0
63,4,3,3,2,4,Maximum,Technological boom,Income crept back up to 80k the next few decades,3,0,0,0,0,0,1,0
64,9,4,1,3,NA,Attendance plummets over the span of a year.,NA,The couple years around 2010 saw a spike in attendance.,3,0,0,0,0,0,1,0
64,9,4,2,3,NA,Attendance plummets over the span of a year.,NA,Something happened around 2011 that saw it plummet within a year.,4,1,3,0,0,0,0,1
64,9,4,3,3,NA,Attendance plummets over the span of a year.,NA,After that plummet it rose again.,3,0,0,0,0,0,1,0
65,8,5,1,1,2,Number of app users ranged from 0 to 500K,Number of app users in 2020 less than in 2015,There was an overall downward trend in app users from 2010 to 2020,3,0,0,0,0,0,1,0
65,8,5,2,1,2,Number of app users ranged from 0 to 500K,Number of app users in 2020 less than in 2015,There was a large increase in users in roughly 2012,3,0,0,0,0,0,1,0
65,8,5,3,1,2,Number of app users ranged from 0 to 500K,Number of app users in 2020 less than in 2015,The number of app users from 2015 to 2020 was roughly stable around 50K,3,0,0,0,0,0,1,0
66,9,5,1,1,2,Sports game attendance (in thousands) over 20 years,Attendance in 2010 greater than 2009,Sports attendance in 2020 is where it was in 2000.,2,0,0,0,0,1,0,0
66,9,5,2,1,2,Sports game attendance (in thousands) over 20 years,Attendance in 2010 greater than 2009,"There was a large decrease in sports attendance from 2000 until 2010, when there was a large spike until 2012.",3,0,0,0,0,0,1,0
66,9,5,3,1,2,Sports game attendance (in thousands) over 20 years,Attendance in 2010 greater than 2009,After 2012 there was a sharp decrease in sports attendance but it has been steadily increasing since then.,3,0,0,0,0,0,1,0
67,1,4,1,1,2,"Years span 1960-2020, shown in decades",Number of immigrants in 2012 is greater than in 2011,Immigration was very stable from 1960 to 2018.,3,0,0,0,0,0,1,0
67,1,4,2,1,2,"Years span 1960-2020, shown in decades",Number of immigrants in 2012 is greater than in 2011,There was a shape rise in immigration in 2018.,3,0,0,0,0,0,1,0
68,3,3,1,3,NA,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",NA,Stock prices have continued to drop the entire time shown.,3,0,0,0,0,0,1,0
68,3,3,2,3,NA,"Pivotal moment for stock index in 1962, decreasing rate changed dramatically",NA,The date range was 1960 to 2020.,1,0,0,0,1,0,0,0
69,2,4,1,2,3,Income in 2010 greater than 2008,"After steadily increasing, median household income spiked suddenly in 2008.",Median income has increased over the past three decades,3,0,0,0,0,0,1,0
69,2,4,2,2,3,Income in 2010 greater than 2008,"After steadily increasing, median household income spiked suddenly in 2008.",Median income spiked in 2008,3,1,3,0,0,0,1,0
69,2,4,3,2,3,Income in 2010 greater than 2008,"After steadily increasing, median household income spiked suddenly in 2008.",Median income continued to grow in 2010 more than it had in the 2008 spike,3,1,2,0,0,0,1,0
70,2,3,1,4,NA,Steady increase from 1960-2008 was caused by an increase in base wages.,NA,There was a steady increase in median household income from 1960 to 2008.,3,1,4,0,0,0,1,0
70,2,3,2,4,NA,Steady increase from 1960-2008 was caused by an increase in base wages.,NA,Between 2008 and 2010 the rate of increase in median household income rose dramatically.,3,0,0,0,0,0,1,0
71,8,3,1,2,NA,Number of app users in 2020 less than in 2015,NA,There was a huge spike in use in 2015,3,0,0,0,0,0,1,0
71,8,3,2,2,NA,Number of app users in 2020 less than in 2015,NA,Users have declined since 2015.,3,0,0,0,0,0,1,0
72,3,4,1,2,NA,"Stock index at 5 in 2010, less than in 1970",NA,Stock index has dramatically declined from 1960 to 2010,3,0,0,0,0,0,1,0
72,3,4,2,2,NA,"Stock index at 5 in 2010, less than in 1970",NA,Sharp decrease from 1960 to 1965 then a consistent decline after,3,0,0,0,0,0,1,0
72,3,4,3,2,NA,"Stock index at 5 in 2010, less than in 1970",NA,Index started at 4k and ended up at 5,2,1,2,0,0,1,0,0
73,7,4,1,2,NA,Immigration in 1982 higher than 1980,NA,Immigration in 1982 was higher than in 1980.,2,1,2,0,0,1,0,0
73,7,4,2,2,NA,Immigration in 1982 higher than 1980,NA,There was a steep decline in immigration from 1990 to 2010.,3,0,0,0,0,0,1,0
73,7,4,3,2,NA,Immigration in 1982 higher than 1980,NA,Immigration was highest around 1982.,2,1,2,0,0,1,0,0
74,1,4,1,3,NA,Slight uptick in the overall decreasing trend,NA,Immigration spiked around 2016,3,0,0,0,0,0,1,0
75,9,4,1,1,NA,Sports game attendance (in thousands) over 20 years,NA,There was a sharp decrease in 2009.,3,0,0,0,0,0,1,0
75,9,4,2,1,NA,Sports game attendance (in thousands) over 20 years,NA,Sports attendance has was at its highest in 2000 and 2020,2,0,0,0,0,1,0,0
75,9,4,3,1,NA,Sports game attendance (in thousands) over 20 years,NA,Sports attendance has steadily increased since 2012.,3,0,0,0,0,0,1,0
76,3,2,1,1,2,Line depicts stock index over a series of 5 decades,"Stock index at 5 in 2010, less than in 1970",The chart depicts a decline in the stock index over 5 decades.,3,1,1,0,0,0,1,0
76,3,2,2,1,2,Line depicts stock index over a series of 5 decades,"Stock index at 5 in 2010, less than in 1970",The stock index was at 5 in 1970.,2,1,2,0,0,1,0,0
77,7,4,1,1,2,Line depicts number of immigrants over time,Immigration in 1982 higher than 1980,There was a big spike in immigration at one point,3,0,0,0,0,0,1,0
77,7,4,2,1,2,Line depicts number of immigrants over time,Immigration in 1982 higher than 1980,Immigration has decreased in more recent years,3,0,0,0,0,0,1,0
